id,page,route,section,caption_in_code,purpose,dimensions,reuse_notes,subject,style_notes,prompt
BRAND-STYLE,(global reference — do not generate),(n/a),(n/a),(n/a),"Reference row. Every prompt below already embeds these style rules; this row exists so that a human reviewer or new model has the brand language in one place.",(n/a),"Used as the baseline for every other row in this CSV.",(n/a),"Brand visual language — Unite Medical: editorial documentary photography in the spirit of NYT Magazine, Monocle, Aesop campaigns, and Kinfolk. Shot on 35mm color film (Kodak Portra 400 feel) or medium format. Natural light, slight visible grain, shallow-but-not-bokeh-heavy depth of field. Color palette is warm and restrained: cream paper (#f7f2ea, #ede5d6), ink (#241a28), and small accents of deep plum (#5e2963) only when they appear naturally. Compositions are quiet, slightly off-center, with generous negative space on one side so that headline type can land on top. NO visible logos, NO visible text, NO recognizable celebrities, NO stock-photo gloss, NO fluorescent cyan hospital sheen, NO fake smiles, NO heavy retouching. Faces, when shown, should feel real and slightly weathered — like documentary subjects, not models. Hands and skin tones should be true to a wide range of real American workers. Equipment must look used, not new-in-box. 16:9 aspect ratio unless otherwise specified.","(see style_notes column)"
HOME-01,Homepage,/,"Hero (right column, beside H1)","warehouse floor, golden hour","Sets the visual thesis of the brand: a real working warehouse, late-afternoon light, calm and confident. Anchors the H1 ""The supply chain behind American medicine.""","16:9 wide hero, ~1920×1200 source so it crops to 500h on desktop and 280h on mobile. A small white inventory card overlays the bottom-left, so keep the lower-left third of the frame uncluttered.","Used only on Homepage hero, but the same shoot can supply ABOUT-01 and VET-01 if framing differs.","Wide interior of a medical-supply distribution warehouse at golden hour, end-of-aisle view down a pick path of beige cardboard cases on industrial pallet racks.","Editorial documentary, Portra 400 film aesthetic, warm cream-and-amber palette, low contrast. No people. No visible logos.","Editorial documentary photograph, shot on 35mm color film with Kodak Portra 400, of the interior of a working medical-supply distribution warehouse during late-afternoon golden hour. Camera is at human eye height, looking straight down a single pick path between two industrial pallet-rack runs that recede toward a far wall. The racks are stacked with plain beige and kraft cardboard cases, no visible brand logos, no visible text. Soft warm sunlight rakes in horizontally from a roll-up door at the end of the aisle, casting long warm-amber light on the polished concrete floor and turning the dust in the air visible. Color palette is cream, kraft brown, soft warm amber, with a faint deep-plum shadow under the racks. Composition leaves the lower-left third of the frame relatively quiet so a small UI card can overlay it. No people. Slight 35mm grain. No HDR. No glossy retouching. No fluorescent ceiling glare."
HOME-FEATURED-01,Homepage,/,"""In stock, shipping today"" — featured product card 1","knee brace, side view","Featured product tile linking to PDP for UM-ORTH-0412.","4:3 product tile, ~840×630 source so it crops to 210h on desktop and 140h on mobile.","Same asset as PROD-01 (Catalog tile + ProductDetail main).","Side-profile product photo of a black-and-grey hinged knee brace.","Reuses PROD-01 asset.","See PROD-01."
HOME-FEATURED-02,Homepage,/,"""In stock, shipping today"" — featured product card 2","test cassette on tray","Featured product tile linking to PDP for UM-DIAG-0077.","4:3 product tile, ~840×630.","Same asset as PROD-02.","COVID/Flu/RSV combo rapid-test cassette on a small lab tray.","Reuses PROD-02 asset.","See PROD-02."
HOME-FEATURED-03,Homepage,/,"""In stock, shipping today"" — featured product card 3","gloves, open box","Featured product tile linking to PDP for UM-PPE-1108.","4:3 product tile, ~840×630.","Same asset as PROD-03.","Open box of dark-blue chemo-rated nitrile exam gloves.","Reuses PROD-03 asset.","See PROD-03."
HOME-FEATURED-04,Homepage,/,"""In stock, shipping today"" — featured product card 4","wound dressing packet","Featured product tile linking to PDP for UM-WND-0231.","4:3 product tile, ~840×630.","Same asset as PROD-04.","Single hydrocolloid wound-dressing pouch on a clean kraft surface.","Reuses PROD-04 asset.","See PROD-04."
ABOUT-01,About,/about,"Editorial portrait below H1 ""Built by a soldier. Run like one.""","Damon Reed on the warehouse floor","Establishes the founder as a real, present operator — not a stock CEO photo. Damon Reed is a 22-year U.S. Army logistics veteran, in his late 40s, founder & CEO of Unite Medical (Lithia Springs, GA). Photo lives directly under the H1 and pairs with a paragraph about his service.","16:9 wide editorial photo, ~1920×1080, displays at 520h desktop / 280h mobile. Headline negative space is on the left third.","Same shoot can also supply VET-01; pick a different frame for each so the two pages don't feel identical.","Mid-40s former-Army-logistics man standing on a warehouse floor in Lithia Springs, GA, hands on hips, looking past camera, late-afternoon working light.","Editorial documentary portrait, Portra 400 film, warm and quiet, real-feeling. Subject is anonymous (we are casting a body double) — frame so the face is recognizable but does not need celebrity likeness.","Editorial documentary portrait shot on 35mm Kodak Portra 400 of a man in his mid-to-late 40s, white American, salt-and-pepper hair, weathered hands, wearing a plain dark-navy work polo with no visible logos and well-worn dark jeans. He is standing three-quarter angle to camera in the center aisle of a working medical-supply warehouse, hands relaxed on hips, looking off to camera-left toward a roll-up bay door where late-afternoon golden light rakes in. He is not smiling but is calm and present. Behind him, soft-focus pallet racks of plain kraft cardboard cases. Frame is 16:9 wide, subject sits on the right two-thirds, leaving the left third quiet for headline overlay. Warm cream and amber palette with a small natural plum-purple cast in the deep shadows. Slight film grain. No fluorescent ceiling glare, no HDR, no glossy retouching, no logos, no visible text. Documentary, not corporate."
VET-01,Veteran-owned,/about/veteran-owned,"Founder section beside ""22 years moving supplies.""","Damon Reed, Lithia Springs warehouse","Second portrait of the same founder. Lives on the Veteran-Owned page and should feel like a different frame from the same documentary shoot — slightly tighter, slightly more reverent, with a hint of his service background.","16:9 wide, ~1920×1080, displays at 520h desktop / 280h mobile.","Companion to ABOUT-01 (same shoot, different selection).","Same subject as ABOUT-01, slightly tighter, head-and-shoulders, still environmental.","Editorial portrait, slightly more contemplative than ABOUT-01.","Editorial documentary portrait, 35mm Kodak Portra 400, of the same mid-late-40s former-Army-logistics man as ABOUT-01. Tighter framing this time — head-and-shoulders, three-quarter angle, looking down and slightly away from camera as he holds a clipboard at chest height. He is wearing the same plain dark-navy work polo, no logos. Behind him, soft-focused metal pallet racking and a single warm tungsten dock light. Late-afternoon natural light from camera-right gives a warm rim on his hair and shoulder. Mood is reverent and quiet — a man taking stock of his operation. 16:9 wide, subject on the right, quiet kraft-and-amber background filling the left third. Slight film grain, no glossy retouching, no logos, no visible text, no fluorescent cyan."
SOL-01,Solutions,/solutions,"Active solution panel — ASC tab","OR turnover, golden hour","Lives in the right pane of the active-solution card on the Solutions page, paired with a description of how Unite serves Ambulatory Surgery Centers. Should suggest a calm, well-run OR room between cases — not a procedure in progress.","Tall portrait crop, ~1080×1500, displays at 520h desktop / 240h mobile.","Reused by BLOG-02 (cover for ""Procedure bundles 101"" post). Mood is identical; consider literal reuse.","Empty operating room mid-turnover: light blue surgical drapes folded on a stainless tray table, overhead lights dimmed, late-afternoon sun coming through a frosted side window.","Editorial documentary, warm and quiet despite the clinical subject. NOT brightly fluorescent.","Editorial documentary photograph, shot on medium-format film, of a quiet ambulatory-surgery-center operating room mid-turnover. The OR table has been freshly draped with neatly folded light-blue surgical drapes, a stainless instrument tray sits alongside with a clean prep towel, the overhead surgical lights are dimmed and angled away. Late-afternoon golden light filters through a frosted side window at camera-left, washing the polished epoxy floor in a warm amber-and-cream tone. No people. No patients. No blood. No procedure. The room reads as: prepared, calm, ready for the next case. Vertical 3:4 portrait composition with the OR table center-frame. Color palette: pale clinical blue, cream, warm amber light, deep ink shadow. Slight film grain. No HDR, no glossy retouch, no fluorescent cyan glare. No visible logos or text."
SOL-02,Solutions,/solutions,"Active solution panel — Independent Pharmacies tab","pharmacy counter, late afternoon","Right pane for the Pharmacy solution. Should evoke an independent (not chain) neighborhood pharmacy in a warm late-afternoon moment. Conveys ""we serve Holloway-style independents,"" not Walgreens.","Tall portrait crop, ~1080×1500, displays at 520h / 240h.","Solutions page only.","View across an independent pharmacy's wood front counter toward a wall of small drawer-style apothecary cabinets.","Wes-Anderson-adjacent symmetry but documentary, not whimsical.","Editorial documentary photograph, 35mm Kodak Portra 400, of an independent neighborhood pharmacy interior in a small American town, captured in late-afternoon light. Camera is just behind the customer side of a warm-stained-oak front counter, looking across the counter toward a back wall lined with small dark-walnut apothecary drawers labeled with handwritten brass card-holders. On the counter, a small white prescription bag, a brass bell, and a tidy stack of receipts. Warm sunlight from a storefront window at camera-left rakes across the wood and gives the room an amber, slightly nostalgic glow. No people. No customer face. No visible brand logos. Color palette: warm wood, cream, amber, faint deep-plum in the back-wall shadows. Slight film grain, no HDR, no glossy retouching, no clinical fluorescent light."
